,precision,recall,f1-score,support
0,0.0,0.0,0.0,38.0
1,0.2360655737704918,0.42105263157894735,0.3025210084033614,171.0
2,0.21428571428571427,0.04639175257731959,0.07627118644067797,194.0
3,0.26342710997442453,0.5099009900990099,0.3473861720067453,202.0
4,0.3235294117647059,0.0658682634730539,0.10945273631840796,167.0
accuracy,0.25259067357512954,0.25259067357512954,0.25259067357512954,0.25259067357512954
macro avg,0.20746156195906731,0.20864272754566615,0.1671262206338385,772.0
weighted avg,0.2450522404996403,0.25259067357512954,0.20074911440026294,772.0
