,precision,recall,f1-score,support
0,0.0,0.0,0.0,38.0
1,0.2627118644067797,0.543859649122807,0.3542857142857143,171.0
2,0.25961538461538464,0.13917525773195877,0.18120805369127518,194.0
3,0.2701612903225806,0.3316831683168317,0.2977777777777778,202.0
4,0.24242424242424243,0.09580838323353294,0.13733905579399144,167.0
accuracy,0.26295336787564766,0.26295336787564766,0.26295336787564766,0.26295336787564766
macro avg,0.20698255635379748,0.22210529168102613,0.19412212030975176,772.0
weighted avg,0.2465628789623753,0.26295336787564766,0.23163724480268424,772.0
