,precision,recall,f1-score,support
0,0.0,0.0,0.0,38.0
1,0.2408026755852843,0.42105263157894735,0.3063829787234042,171.0
2,0.18,0.04639175257731959,0.07377049180327869,194.0
3,0.2512820512820513,0.48514851485148514,0.3310810810810811,202.0
4,0.36363636363636365,0.0718562874251497,0.12,167.0
accuracy,0.24740932642487046,0.24740932642487046,0.24740932642487046,0.24740932642487046
macro avg,0.20714421810073985,0.20488983728658033,0.1662469103215528,772.0
weighted avg,0.24298381426338175,0.24740932642487046,0.1989913771371976,772.0
