,precision,recall,f1-score,support
0,0.441588785046729,0.7269230769230769,0.5494186046511628,260.0
1,0.28044280442804426,0.32340425531914896,0.30039525691699603,235.0
2,0.32065217391304346,0.22868217054263565,0.2669683257918552,258.0
3,0.3142857142857143,0.21739130434782608,0.2570093457943925,253.0
4,0.2777777777777778,0.21551724137931033,0.24271844660194175,232.0
accuracy,0.3465266558966074,0.3465266558966074,0.3465266558966074,0.3465266558966074
macro avg,0.3269494510902618,0.3423836097023996,0.3233019959512696,1238.0
weighted avg,0.32908249933847766,0.3465266558966074,0.3260529844400055,1238.0
