,precision,recall,f1-score,support
0,0.4928571428571429,0.7961538461538461,0.6088235294117648,260.0
1,0.28484848484848485,0.4,0.33274336283185846,235.0
2,0.3611111111111111,0.25193798449612403,0.2968036529680365,258.0
3,0.29411764705882354,0.17786561264822134,0.22167487684729062,253.0
4,0.3741935483870968,0.25,0.2997416020671834,232.0
accuracy,0.3788368336025848,0.3788368336025848,0.3788368336025848,0.3788368336025848
macro avg,0.3614255868525319,0.3751914886596383,0.3519574048252268,1238.0
weighted avg,0.3630642856870812,0.3788368336025848,0.35435213723768183,1238.0
