,precision,recall,f1-score,support
0,0.0,0.0,0.0,38.0
1,0.23076923076923078,0.3508771929824561,0.27842227378190254,171.0
2,0.2403846153846154,0.12886597938144329,0.16778523489932884,194.0
3,0.25573770491803277,0.38613861386138615,0.30769230769230765,202.0
4,0.21359223300970873,0.1317365269461078,0.16296296296296298,167.0
accuracy,0.23963730569948186,0.23963730569948186,0.23963730569948186,0.23963730569948186
macro avg,0.18809675681631755,0.19952366263427868,0.18337255586730042,772.0
weighted avg,0.22464387714017856,0.23963730569948186,0.2195974162640364,772.0
