,precision,recall,f1-score,support
0,0.4441747572815534,0.7038461538461539,0.5446428571428572,260.0
1,0.23557692307692307,0.41702127659574467,0.3010752688172043,235.0
2,0.3111111111111111,0.10852713178294573,0.16091954022988508,258.0
3,0.3471502590673575,0.2648221343873518,0.3004484304932736,253.0
4,0.2283464566929134,0.125,0.1615598885793872,232.0
accuracy,0.327140549273021,0.327140549273021,0.327140549273021,0.327140549273021
macro avg,0.31327190144597167,0.32384333932243925,0.29372919705252143,1238.0
weighted avg,0.3165735654117487,0.327140549273021,0.2967467039367627,1238.0
