,precision,recall,f1-score,support
0,0.5795148247978437,0.8269230769230769,0.6814580031695722,260.0
1,0.29357798165137616,0.4085106382978723,0.3416370106761566,235.0
2,0.36538461538461536,0.22093023255813954,0.2753623188405797,258.0
3,0.39378238341968913,0.30039525691699603,0.34080717488789236,253.0
4,0.32460732984293195,0.2672413793103448,0.2931442080378251,232.0
accuracy,0.4087237479806139,0.4087237479806139,0.4087237479806139,0.4087237479806139
macro avg,0.3913734270192913,0.4048001168012859,0.38648174312240513,1238.0
weighted avg,0.39488671602058567,0.4087237479806139,0.389936129325741,1238.0
