latitude,longitude,rwi,error
4.3792747,114.0051270,0.720,0.547
4.8392069,118.0261230,-0.377,0.445
4.5326183,118.3776855,-0.323,0.483
2.1418349,112.2912598,-0.370,0.490
4.2478122,115.6091309,-0.710,0.434
2.6687122,102.3815918,-0.098,0.543
1.9442068,102.8210449,0.069,0.510
2.5589632,101.8762207,-0.314,0.537
5.7143797,116.3562012,-0.101,0.533
2.7126091,101.8103027,0.350,0.518
3.1953637,102.4035645,-0.415,0.539
2.0759616,112.2253418,-0.221,0.498
5.2113056,103.0847168,0.683,0.547
1.4390576,111.6101074,-0.390,0.525
1.5049538,104.0295410,-0.267,0.525
4.5545219,101.3928223,-0.277,0.560
5.6269192,118.3337402,-1.013,0.452
5.9329721,100.7336426,-0.263,0.514
1.3511931,110.6652832,-0.709,0.457
1.2852926,110.4675293,0.315,0.539
3.4805234,101.5905762,-0.212,0.503
5.7581050,115.9167480,0.383,0.560
5.4300853,116.9714355,-0.016,0.520
2.8881803,101.4587402,1.127,0.532
2.0100856,103.1066895,-0.192,0.544
1.3951258,103.5681152,0.792,0.506
2.9320690,102.4914551,-0.134,0.560
6.1296313,100.5139160,0.339,0.545
2.8881803,102.2497559,-0.027,0.530
1.9002862,104.0295410,-0.425,0.499
1.8563646,103.2604980,0.302,0.484
3.1734250,113.6096191,0.003,0.538
3.2392398,101.4147949,0.903,0.560
4.8611009,101.1950684,-0.010,0.552
6.3917304,117.0593262,-0.801,0.442
5.8674033,102.2058105,0.206,0.539
3.5243866,113.3020020,-0.089,0.551
4.2916356,113.9831543,0.677,0.552
4.3792747,100.6018066,0.403,0.510
2.4272521,113.4338379,-0.487,0.418
2.3394375,112.1813965,-0.324,0.489
2.0759616,102.7551270,-0.411,0.522
3.3050503,113.5217285,-0.644,0.466
5.7581050,117.7844238,0.336,0.522
3.4585910,101.1511230,0.237,0.530
3.4366581,101.6564941,0.988,0.496
3.0198411,113.9172363,0.108,0.538
1.5928123,104.2053223,1.092,0.529
2.9540126,101.4367676,0.311,0.541
4.3573658,103.2824707,-0.782,0.499
2.0979197,111.9836426,0.351,0.506
5.0362268,118.2897949,0.747,0.565
5.4082108,117.8942871,-0.456,0.553
4.5545219,117.5427246,-0.305,0.550
6.1296313,116.4001465,-0.376,0.482
2.3394375,102.0959473,0.263,0.560
2.2955282,102.4914551,0.382,0.537
4.7516240,118.0480957,-0.708,0.486
1.3951258,110.3137207,-0.091,0.544
5.4519589,100.2282715,-0.063,0.535
2.7126091,102.3596191,0.265,0.523
5.0581143,116.8835449,-0.423,0.558
3.7217452,101.0632324,0.095,0.544
6.1514779,116.3342285,-0.043,0.534
5.9548266,117.3010254,0.023,0.482
1.9222467,102.7551270,-0.188,0.530
5.3425828,118.3117676,-0.171,0.577
5.6706511,100.5578613,-0.115,0.563
3.0637244,113.8513184,-0.378,0.499
2.8442900,112.7746582,-0.044,0.524
4.2916356,101.8103027,0.087,0.554
5.2769476,117.1911621,-0.341,0.494
2.4931093,111.5002441,-0.360,0.483
1.9881263,102.7331543,0.149,0.512
5.3863356,118.3996582,-0.698,0.480
4.7078283,103.1945801,-0.392,0.545
1.6367402,103.8317871,0.638,0.528
1.6806671,103.1945801,-0.200,0.524
4.4011829,118.5314941,0.180,0.537
5.4957038,100.4919434,1.265,0.560
5.5831840,100.4260254,0.576,0.550
4.3792747,118.2458496,-0.718,0.490
5.5613152,118.1359863,-0.413,0.546
5.4957038,102.7111816,0.334,0.527
6.9809543,116.7517090,-0.679,0.510
2.1418349,112.2033691,0.107,0.517
5.1894234,100.4919434,1.041,0.546
4.2697242,100.6677246,0.881,0.564
5.8236865,101.9641113,0.356,0.534
3.3708564,113.4558105,0.013,0.534
2.6467632,102.5793457,-0.191,0.523
4.4669035,100.7995605,0.101,0.514
3.7217452,114.1589355,-0.222,0.522
3.4366581,101.8981934,0.242,0.506
6.1077838,117.1032715,-0.344,0.467
4.2697242,114.2687988,-0.504,0.528
5.6269192,100.9094238,-0.237,0.532
2.6028640,101.7224121,0.305,0.569
6.8500775,116.7297363,-0.320,0.501
5.5613152,117.9162598,-0.003,0.518
5.0362268,118.6853027,-0.877,0.432
6.3043786,117.4987793,-0.410,0.606
6.2825384,100.3601074,0.637,0.536
2.1637921,111.3244629,0.249,0.557
1.7465556,103.3264160,-0.397,0.516
3.7875216,101.5246582,-0.496,0.525
4.9048867,101.1291504,-0.251,0.510
5.7143797,101.0192871,0.151,0.533
4.2039864,115.5871582,-0.774,0.475
6.8937071,117.1032715,-0.501,0.585
5.0143386,115.5651855,-0.095,0.535
4.2916356,101.9641113,0.199,0.537
3.9409805,100.9094238,-0.603,0.516
4.2478122,101.8103027,-0.053,0.513
5.3425828,118.3557129,-0.480,0.543
3.1076060,102.9748535,0.288,0.531
2.9978987,102.2717285,-0.414,0.552
5.6925158,117.2351074,-0.666,0.513
2.4052990,102.0300293,-0.911,0.532
3.2611771,102.4694824,-0.463,0.516
4.1163273,101.1291504,0.476,0.580
4.4888091,103.4362793,0.920,0.560
5.5394455,100.9973145,-0.458,0.519
5.4082108,118.2678223,0.141,0.567
6.1733235,100.6896973,-0.021,0.560
1.3511931,110.4455566,0.048,0.548
4.8829942,101.0412598,0.332,0.542
2.6906608,113.7854004,0.377,0.542
6.4354006,116.4660645,0.438,0.516
2.9101249,102.7770996,-0.042,0.513
5.9111167,118.0261230,0.387,0.559
4.5326183,118.2238770,-0.680,0.474
6.6755194,116.9274902,0.652,0.564
6.0422360,102.1618652,0.799,0.554
5.3644596,116.0925293,-0.237,0.538
3.1953637,101.3708496,0.430,0.530
4.0286586,100.9313965,0.260,0.513
5.3863356,115.6091309,-0.044,0.545
3.2392398,101.3928223,0.651,0.521
2.5809138,112.1594238,-0.518,0.570
2.5589632,112.4450684,-0.288,0.497
4.6859294,116.4880371,-0.408,0.477
3.2611771,114.6643066,-0.594,0.612
1.8563646,102.8210449,0.692,0.512
4.2697242,101.6784668,-0.812,0.520
1.2633253,111.5002441,-0.265,0.483
2.3833455,102.1179199,-0.001,0.592
5.1675404,103.0627441,-0.211,0.520
2.9320690,102.0739746,0.456,0.552
3.2611771,102.1618652,0.047,0.525
7.2207995,117.2131348,-0.661,0.452
6.6536952,117.0593262,-0.276,0.535
5.8018269,100.9313965,-0.402,0.544
1.1534865,111.5002441,-0.061,0.489
3.5901776,102.1398926,0.412,0.538
2.6687122,114.7961426,0.135,0.522
2.2516175,111.7858887,0.564,0.568
2.7126091,111.4782715,0.427,0.570
3.5243866,101.9641113,0.141,0.549
5.5613152,101.8762207,0.510,0.544
1.7026302,103.8317871,0.227,0.512
1.3951258,110.2258301,-0.079,0.536
3.4805234,103.1286621,-0.199,0.517
2.9759559,112.8845215,-0.723,0.489
5.4082108,116.9494629,-0.761,0.540
5.9111167,116.1584473,0.884,0.541
2.7345569,101.6125488,0.051,0.518
4.9705600,118.7512207,-0.298,0.549
5.6925158,100.7116699,0.003,0.533
2.9101249,102.9089355,0.484,0.558
5.1894234,100.9533691,0.400,0.506
4.8392069,114.9938965,0.034,0.509
4.8173122,101.0852051,0.930,0.520
5.2988268,116.9274902,-1.008,0.492
3.1076060,102.4255371,0.103,0.558
3.6998186,102.6013184,0.661,0.525
4.4888091,101.1291504,0.646,0.546
1.6147764,111.4343262,0.333,0.496
4.9924497,100.6018066,-0.256,0.534
5.4082108,115.8288574,-0.331,0.548
5.6925158,118.0920410,-0.852,0.450
5.4300853,100.5578613,1.140,0.563
2.3833455,114.5544434,-0.540,0.441
1.0656124,111.8518066,-0.054,0.528
3.1076060,101.7883301,1.008,0.558
3.5463174,101.1291504,0.266,0.510
4.6202287,117.2131348,-0.679,0.418
5.9111167,117.3229980,-0.300,0.494
6.1296313,100.6018066,0.179,0.548
3.6340356,101.8542480,-0.246,0.497
1.5269188,111.5222168,-0.209,0.483
5.2769476,101.9860840,-0.190,0.516
4.5983271,102.9968262,-0.304,0.517
5.6706511,116.9714355,-0.162,0.514
2.8223442,112.3352051,-0.619,0.463
5.8455454,118.0480957,0.828,0.565
4.8611009,102.4475098,-0.351,0.506
2.3174830,102.3156738,0.656,0.571
1.3511931,103.6120605,0.601,0.526
4.4449973,118.4655762,-0.349,0.497
2.9978987,103.4362793,0.339,0.508
2.3174830,111.6320801,0.154,0.512
3.2173020,113.3679199,-0.730,0.470
2.0979197,102.6013184,0.646,0.554
4.3573658,101.0632324,-0.019,0.522
5.5831840,100.5139160,0.728,0.567
5.0362268,116.1364746,-0.750,0.508
6.2606973,99.8327637,0.571,0.549
4.5107140,118.3776855,-0.669,0.484
4.5326183,101.4587402,-0.332,0.547
2.6906608,102.4694824,-0.350,0.501
4.8611009,118.0480957,-0.394,0.447
3.8094460,113.6535645,-0.283,0.505
1.0436434,111.5881348,0.003,0.535
5.2550677,102.1398926,-0.644,0.491
4.7516240,115.6970215,-0.326,0.432
2.0320445,112.4450684,-0.627,0.478
5.6925158,102.1179199,0.013,0.555
2.2516175,102.5793457,-0.170,0.519
5.8236865,117.7185059,-0.687,0.514
2.5370123,111.6540527,0.157,0.525
1.5708481,103.3483887,0.285,0.531
4.5545219,100.7116699,-0.364,0.530
5.0581143,116.1145020,-0.483,0.540
5.0143386,102.9528809,-0.135,0.541
5.8455454,118.1140137,1.337,0.580
6.5445599,117.2790527,-0.749,0.421
4.1820725,114.2907715,-0.159,0.511
5.3863356,119.1906738,-0.670,0.463
4.5764249,100.8654785,-0.023,0.530
5.1675404,118.2238770,-0.896,0.514
4.5764249,115.4553223,-0.181,0.543
4.7297265,114.9719238,0.172,0.546
1.2193903,111.7419434,0.025,0.507
4.5545219,101.1950684,-0.161,0.472
5.9985331,102.1179199,-0.174,0.555
3.7217452,100.9973145,-0.198,0.531
2.3394375,102.6452637,-0.083,0.512
2.9759559,102.2058105,0.216,0.522
4.2697242,101.0852051,0.333,0.555
5.1894234,116.1364746,-0.982,0.574
4.4230904,101.0852051,-0.183,0.538
4.8611009,115.2136230,-0.160,0.546
1.8124418,103.8977051,-0.230,0.534
2.1857489,102.3376465,0.542,0.543
3.7436712,103.2165527,0.499,0.567
6.6318701,117.2351074,0.043,0.592
5.0143386,118.4875488,0.323,0.531
3.8532931,103.1945801,-0.128,0.507
2.1637921,103.9196777,1.144,0.555
2.4492049,102.2937012,0.108,0.530
2.0320445,112.0056152,0.353,0.505
5.1456567,116.2463379,-0.451,0.519
4.4449973,101.3928223,0.870,0.534
1.7245930,103.1945801,0.507,0.546
4.3573658,103.4802246,0.863,0.532
6.2170122,100.6677246,0.482,0.538
5.9985331,100.4919434,0.053,0.549
5.7581050,102.5573730,0.491,0.557
3.7875216,100.8435059,0.077,0.533
3.1076060,102.2277832,0.222,0.549
1.8783255,102.7990723,-0.351,0.522
5.6706511,117.6306152,-0.663,0.514
5.5613152,117.7624512,-0.659,0.462
5.8455454,116.6418457,-0.572,0.430
1.2633253,110.5554199,-0.519,0.497
4.4449973,101.1511230,0.618,0.564
5.7143797,102.1398926,-0.053,0.561
2.5370123,112.3352051,0.775,0.549
3.3927908,113.4777832,-0.230,0.507
1.1095498,110.3356934,-0.384,0.528
1.8344033,103.9636230,0.137,0.524
2.9759559,101.7004395,0.895,0.547
3.6998186,102.3596191,0.282,0.542
2.7126091,112.6867676,-0.528,0.471
4.1601581,103.3923340,0.143,0.526
1.5049538,110.1599121,0.007,0.541
4.5107140,115.7189941,-0.375,0.406
1.5488836,103.9636230,0.127,0.557
5.1675404,100.7116699,0.270,0.544
3.8752158,103.2824707,0.794,0.565
3.6559638,102.5134277,0.109,0.555
2.4272521,102.0520020,0.204,0.535
5.7143797,117.7404785,-0.404,0.540
3.1514858,113.5656738,-0.510,0.580
5.9548266,102.3596191,0.366,0.541
4.2039864,103.2824707,0.347,0.469
4.3573658,113.9611816,0.523,0.531
7.1772006,117.0812988,0.135,0.546
5.2331870,117.7185059,-0.095,0.593
3.9848207,103.3044434,0.589,0.489
5.2113056,118.0041504,-0.851,0.536
2.6467632,102.4914551,0.464,0.557
5.2769476,100.7336426,-0.121,0.551
5.2550677,116.2683105,-0.879,0.470
3.0198411,102.0959473,-0.064,0.532
1.9881263,103.1286621,-0.597,0.527
3.9409805,103.2385254,0.367,0.551
4.2039864,101.1730957,0.460,0.510
5.6487856,101.0632324,-0.122,0.511
4.5764249,101.3708496,0.446,0.521
5.8455454,100.7995605,-0.140,0.531
5.5613152,115.5871582,1.062,0.571
2.3394375,102.9748535,-0.307,0.494
1.7245930,103.8317871,0.463,0.543
5.7362428,102.0520020,-0.057,0.548
6.2825384,100.4479980,0.418,0.543
5.5613152,116.3781738,-1.077,0.483
2.4052990,111.2365723,-0.482,0.585
5.7143797,117.5646973,-0.098,0.548
4.2478122,117.9821777,-0.191,0.544
3.4147247,101.6125488,0.930,0.550
1.2633253,110.7751465,-0.796,0.490
5.5613152,100.7556152,-0.494,0.546
3.9409805,102.5134277,0.072,0.552
6.1077838,118.0261230,-0.193,0.545
3.0856655,113.2360840,-0.314,0.525
5.2769476,100.4919434,0.993,0.561
1.5708481,110.2258301,0.536,0.553
5.4082108,100.5798340,0.641,0.560
3.9190595,100.9313965,0.035,0.531
2.0759616,102.7111816,-0.193,0.553
5.7581050,100.9094238,-0.264,0.519
6.6973426,100.1843262,0.929,0.547
2.3394375,103.0847168,-0.376,0.505
5.6487856,116.9494629,-0.948,0.455
1.9661667,103.3923340,1.156,0.560
2.8881803,101.3049316,0.178,0.519
5.3644596,102.8210449,0.196,0.557
4.0724942,101.9860840,-0.129,0.476
1.5049538,104.0515137,0.274,0.526
2.7565043,102.8649902,-0.610,0.519
5.4519589,117.9382324,-0.604,0.490
5.1456567,119.1906738,-0.877,0.472
2.7345569,101.5466309,0.187,0.506
3.3269861,101.5686035,0.791,0.502
4.2916356,114.0051270,0.060,0.531
3.4585910,102.4694824,0.934,0.543
1.0656124,110.5114746,0.138,0.545
5.8674033,116.2902832,-0.355,0.499
4.7735207,117.9602051,-1.052,0.586
7.2861900,117.0593262,0.036,0.525
4.4449973,101.1950684,0.244,0.497
3.2831139,113.4997559,-0.240,0.545
2.3833455,111.2585449,-0.411,0.423
1.6367402,103.8537598,-0.103,0.589
5.8674033,116.5319824,0.227,0.530
3.7875216,114.7302246,0.603,0.536
5.6706511,117.5207520,-0.396,0.449
4.2258996,101.2829590,0.361,0.556
5.1456567,118.2897949,-0.534,0.512
4.7297265,103.0847168,0.632,0.558
6.3917304,116.4660645,-0.210,0.520
1.6147764,109.6765137,0.483,0.549
5.1894234,102.0520020,-0.468,0.503
5.4738318,100.5798340,0.086,0.509
2.0540032,111.7639160,-0.137,0.509
4.2258996,101.7004395,-0.100,0.528
5.2113056,118.9709473,-0.502,0.430
1.4829887,103.7878418,1.258,0.559
1.9002862,103.6340332,-0.436,0.538
3.1514858,101.5686035,1.001,0.572
3.9629009,100.8215332,-0.511,0.516
4.1382430,103.2385254,0.360,0.558
3.7436712,113.7634277,-0.276,0.523
1.7685179,111.3903809,-0.240,0.474
2.5150610,101.9860840,0.292,0.528
5.6487856,117.6086426,-0.635,0.480
1.2413579,110.5334473,-0.256,0.530
5.0362268,102.0520020,0.090,0.543
1.2193903,110.7971191,0.085,0.600
4.2478122,113.9611816,0.147,0.536
5.1894234,118.0700684,-0.529,0.504
5.0800010,117.7624512,-1.375,0.451
4.0505767,113.8293457,0.199,0.518
4.9267785,118.1140137,-0.820,0.434
5.1018870,100.7556152,-0.067,0.509
6.3262180,117.1472168,-0.642,0.434
3.1953637,101.6564941,0.842,0.495
2.3833455,102.0739746,0.274,0.532
2.6467632,112.0495605,-0.469,0.450
3.2173020,113.1042480,0.567,0.504
5.8674033,102.3156738,0.529,0.547
5.4738318,102.9968262,0.727,0.507
5.8018269,117.1911621,-0.373,0.556
3.9409805,101.8981934,-0.039,0.495
1.5488836,103.6120605,1.037,0.567
5.9548266,118.0261230,-0.216,0.520
6.2170122,116.9274902,-0.046,0.445
5.6706511,116.7736816,-0.543,0.451
1.7465556,110.3137207,0.578,0.562
4.2697242,100.9094238,-0.024,0.549
5.2331870,116.3122559,-1.100,0.494
6.3698938,116.4660645,0.223,0.553
1.7465556,103.1726074,-0.010,0.539
2.9320690,112.8845215,0.117,0.504
2.3394375,111.5441895,-0.642,0.507
3.7875216,100.8874512,-0.146,0.511
3.6778914,102.8649902,0.865,0.529
4.5326183,100.9973145,-0.141,0.528
3.4585910,101.5026855,-0.509,0.532
2.8442900,101.5466309,0.187,0.521
5.7143797,116.9934082,-0.285,0.515
4.9486696,102.0739746,-0.144,0.515
5.9548266,100.5358887,0.410,0.546
4.3354564,101.0852051,-0.122,0.509
4.4449973,117.7404785,-0.532,0.507
2.1418349,102.4475098,0.259,0.539
5.3425828,115.7629395,0.610,0.562
2.8442900,112.6867676,-0.107,0.525
1.5049538,111.3684082,-0.021,0.572
5.5831840,100.8874512,0.110,0.536
2.9978987,101.7004395,1.031,0.510
1.4170918,110.5773926,-0.220,0.536
4.8392069,117.4108887,-0.717,0.449
3.8094460,102.6013184,-0.580,0.529
5.5394455,116.0046387,0.160,0.489
1.0656124,110.8410645,-0.300,0.514
5.2769476,100.8435059,-0.403,0.510
5.8455454,117.6965332,-0.265,0.558
3.3050503,103.1286621,0.026,0.520
1.8124418,103.8537598,0.447,0.522
2.4052990,102.5354004,-0.412,0.526
3.8752158,101.3928223,0.384,0.478
6.0422360,117.1691895,-0.490,0.493
2.3613917,102.1618652,0.397,0.526
4.0505767,113.9172363,-0.848,0.506
5.4082108,118.4436035,-0.490,0.574
1.6587038,111.0388184,0.357,0.551
2.8223442,101.7663574,0.794,0.571
6.6100440,116.9714355,-0.813,0.513
4.5545219,114.1369629,-0.477,0.497
1.0436434,110.5773926,-0.151,0.535
3.4366581,102.9968262,-0.910,0.503
5.6487856,117.3229980,0.468,0.534
6.1733235,116.4660645,0.019,0.569
3.5243866,101.5026855,-0.065,0.528
5.2113056,100.5798340,-0.323,0.551
4.4888091,118.5095215,-0.273,0.527
6.0859354,102.3156738,0.686,0.539
3.3050503,101.6345215,0.212,0.530
3.7875216,114.1589355,-0.564,0.519
5.0143386,116.9055176,-0.361,0.438
5.9329721,116.2023926,-0.171,0.529
4.3135463,102.0300293,-0.319,0.554
1.7685179,111.6101074,-0.365,0.506
4.0286586,101.1950684,0.338,0.516
5.6925158,116.8395996,-0.674,0.522
4.2697242,115.6091309,-0.451,0.420
2.1198775,114.1809082,-0.846,0.464
6.6100440,116.9274902,-0.414,0.522
4.9048867,101.1730957,0.050,0.551
4.8392069,101.9421387,-0.296,0.556
2.6028640,102.6452637,-0.061,0.478
5.6925158,116.7297363,-0.135,0.456
3.2611771,113.8952637,-0.404,0.492
3.7217452,101.5466309,0.666,0.550
4.0724942,101.1291504,0.315,0.543
4.6421296,101.4807129,0.199,0.527
3.7655967,102.4035645,-0.086,0.535
6.6318701,116.9494629,-1.038,0.501
3.3269861,113.1262207,0.001,0.508
6.3917304,100.1184082,0.391,0.554
2.4931093,102.8430176,0.923,0.557
3.7217452,101.4147949,0.037,0.512
1.9222467,111.8957520,-0.548,0.458
1.8124418,103.9855957,-0.530,0.522
6.4572344,100.4260254,0.231,0.532
2.0320445,112.5988770,-0.151,0.441
3.3489215,101.3488770,0.108,0.502
5.8674033,102.4914551,1.205,0.560
5.0800010,118.9929199,-0.364,0.529
6.5882169,117.0373535,-0.447,0.529
1.9881263,111.5441895,-0.404,0.467
4.6421296,115.0598145,-0.095,0.427
3.3927908,102.9748535,-0.217,0.510
2.0540032,112.6428223,-0.482,0.409
3.9190595,101.9860840,0.175,0.536
1.6367402,104.0954590,0.484,0.551
5.7799663,102.1398926,0.784,0.562
6.0422360,116.7736816,-0.533,0.498
5.7581050,115.9387207,0.888,0.526
1.9442068,103.0407715,0.474,0.526
2.7784514,113.0163574,-0.670,0.508
0.9777357,110.5773926,-0.601,0.476
5.6269192,117.2570801,-0.356,0.517
1.7026302,104.0075684,-0.269,0.556
6.0640861,102.2497559,0.889,0.560
5.3207052,115.6970215,0.292,0.509
4.3354564,100.6896973,0.080,0.527
1.6587038,110.2917480,0.008,0.531
2.3613917,101.9860840,0.660,0.538
3.1076060,101.6564941,1.106,0.512
6.3480564,99.7448730,0.732,0.554
2.0100856,112.9284668,1.027,0.571
1.6806671,109.8303223,-0.486,0.521
3.3489215,101.3049316,0.208,0.536
6.0859354,116.7956543,0.023,0.501
5.2769476,116.3562012,-0.287,0.531
4.9486696,118.6853027,-0.301,0.452
5.8892605,100.5358887,0.092,0.550
4.4230904,114.0710449,-0.298,0.501
2.0100856,103.2385254,-0.493,0.552
1.9881263,103.2165527,-0.166,0.531
5.3207052,100.7995605,0.021,0.531
6.6755194,117.0812988,0.197,0.577
4.0724942,101.8103027,0.276,0.558
1.0875811,111.8298340,-0.203,0.522
5.8455454,117.2131348,0.051,0.509
1.6147764,103.6120605,0.479,0.548
5.9329721,101.9860840,-0.562,0.536
5.4738318,117.7185059,-0.247,0.425
1.8563646,102.7990723,-0.118,0.549
5.4300853,101.8981934,0.402,0.529
2.2735730,102.2717285,0.797,0.558
3.0637244,114.8181152,-0.023,0.513
5.1237722,116.2902832,-0.526,0.471
6.2825384,118.0700684,-0.299,0.419
5.7799663,102.2058105,0.933,0.550
5.9985331,100.4040527,0.439,0.524
3.8752158,101.8981934,0.211,0.508
5.1675404,100.6457520,-0.321,0.519
6.1296313,116.1584473,0.004,0.551
2.9101249,102.2937012,-0.221,0.494
5.3863356,100.5139160,0.279,0.530
5.2331870,103.0407715,-0.028,0.525
4.9048867,100.8874512,-0.302,0.509
3.4585910,113.3898926,-0.319,0.539
2.5150610,111.6540527,-0.216,0.615
3.9190595,102.4035645,-0.207,0.518
1.6147764,110.3576660,0.491,0.524
5.5613152,102.2937012,-0.788,0.502
3.8752158,100.7995605,0.354,0.524
1.9002862,113.4338379,-0.298,0.535
6.3043786,116.4221191,-0.512,0.550
3.8971380,103.1726074,-0.111,0.510
2.8881803,103.4362793,0.364,0.525
2.3833455,102.1398926,-0.492,0.547
4.4888091,100.9533691,-0.301,0.555
1.6367402,103.9196777,-0.203,0.559
1.4390576,110.2258301,0.747,0.536
6.4790672,117.5207520,-0.243,0.514
3.8532931,101.9641113,-0.156,0.548
3.0198411,103.4362793,-0.192,0.504
5.6269192,117.0593262,-0.422,0.528
5.6487856,116.2683105,-0.727,0.494
5.3644596,115.6970215,0.655,0.535
4.5545219,100.8654785,0.451,0.500
4.4011829,102.6452637,-0.587,0.460
3.4366581,103.0627441,-0.190,0.519
2.3394375,111.7419434,-0.562,0.483
5.1675404,100.4479980,-0.053,0.535
3.6778914,101.9860840,-0.045,0.511
3.2392398,113.6315918,-0.592,0.498
5.3863356,116.8395996,-0.406,0.538
1.1534865,111.9177246,-0.133,0.522
5.7581050,116.8176270,-0.231,0.514
3.0856655,101.7663574,0.743,0.500
3.8313699,102.5354004,0.674,0.554
1.6147764,111.6540527,-0.610,0.491
4.3573658,114.9499512,-0.497,0.434
2.4931093,113.3239746,-0.787,0.532
4.4888091,101.9641113,0.688,0.547
5.9111167,102.1838379,0.299,0.538
4.9705600,103.0407715,-0.561,0.551
2.8881803,102.9089355,0.433,0.527
2.2955282,102.5134277,0.201,0.528
6.2825384,100.3820801,1.010,0.557
1.2413579,111.1047363,-0.771,0.452
5.1237722,115.9826660,-0.124,0.529
1.5269188,111.8298340,-0.613,0.453
2.9101249,114.0930176,-0.658,0.422
5.9548266,100.4479980,0.729,0.510
3.7875216,102.6232910,-0.245,0.514
6.1951683,116.2463379,0.349,0.518
1.5488836,110.6433105,-0.061,0.513
6.3043786,99.7448730,0.439,0.551
4.9924497,100.6896973,0.391,0.542
1.5708481,110.6213379,-0.216,0.527
5.2331870,102.8430176,0.129,0.495
2.1857489,102.4255371,0.178,0.496
3.6340356,101.8981934,0.225,0.469
3.2173020,101.8542480,0.393,0.547
4.3573658,103.4143066,-0.042,0.539
5.1456567,102.0959473,-0.194,0.562
5.3207052,115.7189941,-0.091,0.508
5.3207052,102.9968262,0.387,0.501
6.1733235,116.9055176,-0.255,0.469
3.9848207,113.9392090,-0.167,0.519
5.1237722,102.9309082,-0.030,0.508
6.0859354,117.0373535,-0.621,0.458
5.1237722,116.5100098,-0.176,0.534
6.1077838,116.9714355,-0.437,0.501
3.4147247,101.2390137,0.207,0.541
3.8752158,102.5354004,0.759,0.560
3.5682478,101.9201660,0.291,0.509
3.6998186,113.5437012,-0.782,0.533
6.5663889,100.2062988,0.287,0.505
2.4931093,113.5217285,-0.649,0.426
3.6559638,101.8542480,0.337,0.547
4.9705600,117.8503418,-0.677,0.450
1.2413579,111.5002441,-0.116,0.506
1.8344033,112.7307129,-0.416,0.422
3.1076060,102.4694824,0.066,0.534
4.4230904,101.4587402,-0.062,0.498
3.1953637,101.5686035,1.481,0.507
3.2392398,101.3708496,0.260,0.526
4.7516240,115.3894043,-0.347,0.512
6.2825384,100.4040527,1.131,0.561
4.8173122,103.6779785,-0.448,0.590
1.4170918,110.2258301,-0.257,0.521
2.0320445,112.4670410,-0.264,0.512
4.8829942,101.1291504,-0.251,0.574
5.0800010,100.6896973,-0.572,0.515
3.1076060,113.7414551,-0.662,0.412
5.8455454,102.0300293,-0.712,0.515
2.6906608,102.2058105,0.286,0.534
6.8064439,116.6857910,-0.543,0.546
5.8674033,116.0485840,1.076,0.558
5.5394455,100.9094238,-0.211,0.504
4.8392069,116.4880371,0.190,0.477
4.7516240,115.0378418,-0.005,0.418
5.6706511,102.1398926,-0.409,0.539
1.8783255,111.4782715,0.166,0.501
2.4052990,112.1374512,0.136,0.517
3.8752158,113.8293457,-0.742,0.479
3.1734250,102.9968262,0.231,0.502
2.5589632,111.4562988,0.300,0.553
6.5008990,117.5427246,-1.188,0.438
6.2825384,100.2722168,-0.234,0.529
2.1198775,103.3923340,-0.229,0.537
2.0100856,112.4011230,-0.117,0.519
2.9101249,101.8981934,0.361,0.528
2.8662354,101.5466309,0.276,0.527
1.5708481,111.4123535,-0.173,0.551
2.7784514,104.1174316,0.235,0.568
0.8898568,110.5993652,-0.581,0.535
3.4366581,113.6096191,0.238,0.560
5.0143386,118.3557129,0.306,0.584
5.0800010,117.2570801,-0.901,0.415
3.4585910,102.9968262,-0.266,0.495
3.4147247,115.1037598,-0.637,0.410
4.2258996,100.7116699,-0.205,0.545
5.3425828,115.6970215,0.446,0.537
5.4519589,117.6745605,-0.512,0.464
1.3951258,103.5900879,0.409,0.526
1.1754546,111.6540527,-0.060,0.524
5.2550677,117.4987793,0.085,0.427
2.6248138,114.3566895,0.026,0.433
4.1820725,103.1066895,-0.421,0.515
2.5150610,103.8317871,0.429,0.552
5.9548266,100.4040527,0.677,0.550
5.3863356,116.2902832,-0.854,0.430
5.1018870,116.3342285,-0.193,0.545
4.7297265,103.4143066,1.245,0.519
2.0979197,111.5002441,-0.093,0.524
3.7217452,102.6232910,0.197,0.543
1.7685179,111.3244629,-0.183,0.523
5.3207052,117.9382324,-0.110,0.515
5.7362428,117.3010254,-0.724,0.487
4.4888091,118.4655762,-0.799,0.528
4.2478122,100.5358887,-0.081,0.488
1.3731595,110.3796387,0.790,0.595
4.7954168,103.3264160,-0.010,0.518
6.5008990,116.5759277,0.019,0.501
2.0100856,102.6892090,0.178,0.538
2.8442900,112.7526855,-0.572,0.547
4.9267785,116.0046387,-0.223,0.477
2.4272521,102.2058105,0.251,0.552
3.9629009,101.1730957,-0.005,0.503
2.0540032,111.8078613,-0.003,0.515
1.5488836,111.5441895,-0.235,0.542
5.9111167,102.1618652,0.201,0.548
5.5394455,100.7775879,-0.826,0.538
5.3207052,116.3562012,-0.429,0.553
6.0203850,100.4919434,0.371,0.540
5.4738318,100.6896973,-0.181,0.526
6.5008990,100.3381348,0.327,0.542
2.2077054,102.2277832,1.070,0.502
6.1296313,102.3376465,1.052,0.550
