,Items,Support,Confidence,Lift
118,Basket_Size_small -> Wash_Item_clothes,0.105,0.105,1.0
119,Basket_Size_small -> shirt_type_short_sleeve,0.102,0.102,1.0
120,Wash_Item_blankets -> Gender_female,0.1035,0.1035,1.0
121,Gender_female -> Wash_Item_clothes,0.1375,0.1375,1.0
122,Gender_female -> Wash_Item_clothes,0.109,0.109,1.0
123,Gender_female -> Wash_Item_clothes,0.1145,0.1145,1.0
124,Gender_female -> Wash_Item_clothes,0.13575,0.13575,1.0
125,Gender_female -> shirt_type_long sleeve,0.1155,0.1155,1.0
126,Gender_female -> shirt_type_short_sleeve,0.1275,0.1275,1.0
127,Gender_female -> shirt_type_short_sleeve,0.10775,0.10775,1.0
128,Gender_male -> Wash_Item_clothes,0.138,0.138,1.0
129,Gender_male -> Wash_Item_clothes,0.102,0.102,1.0
130,Gender_male -> shirt_type_short_sleeve,0.144,0.144,1.0
131,Gender_male -> shirt_type_short_sleeve,0.145,0.145,1.0
132,Gender_male -> shirt_type_short_sleeve,0.10025,0.10025,1.0
133,Wash_Item_blankets -> shirt_type_short_sleeve,0.10625,0.10625,1.0
134,shirt_type_long sleeve -> Wash_Item_clothes,0.111,0.111,1.0
135,shirt_type_short_sleeve -> Wash_Item_clothes,0.166,0.166,1.0
136,shirt_type_short_sleeve -> Wash_Item_clothes,0.11725,0.11725,1.0
137,shirt_type_short_sleeve -> With_Kids_no,0.1,0.1,1.0
